taxid	pg	order	mlst	azm_mic	azm_int	azm_cat	cfm_mic	cfm_int	cfm_cat	cip_mic	cip_int	cip_cat	cro_mic	cro_int	cro_cat
GCGS0405	7	957	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0406	7	959	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0407	2	849	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0408	3	470	1579	1	1.0-1.0	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0409	4	1016	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0410	5	342	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0411	5	369	8153	1	1.0-1.0	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0412	3	503	1579	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0413	5	371	8153	1	1.0-1.0	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0414	5	372	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0415	5	370	8153	1	1.0-1.0	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0416	4	1034	8126	8	8.0-8.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0417	4	1101	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0418	2	831	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0419	5	336	1579	0.5	0.5-0.5	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0420	3	528	10311	1	1.0-1.0	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0421	1	595	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0422	7	976	11420	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0423	8	793	12089	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0424	8	685	10932	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0425	8	804	10931	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0426	7	975	11420	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0427	11	722	1584	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0428	8	687	10932	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0429	8	683	10932	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.5	0.5-0.5	S	0.008	0.008-0.008	S
GCGS0430	8	641	1902	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0431	8	781	10316	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S
GCGS0432	12	749	8154	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S
GCGS0433	7	925	11422	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0434	4	1042	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0435	4	1081	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0436	7	906	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0437	5	448	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0438	12	742	1585	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0439	8	779	NA	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0440	8	538	1601	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.002	0.002-0.002	S	0.004	0.004-0.004	S
GCGS0441	11	713	1584	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0442	8	638	1902	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0443	11	708	1584	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0444	5	379	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0445	10	766	1590	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0446	5	389	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0447	4	1083	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.002	0.002-0.002	S	0.008	0.008-0.008	S
GCGS0448	5	382	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0449	8	783	11414	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0450	12	741	1585	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0451	5	384	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0452	5	381	1901	0.125	0.125-0.125	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0453	8	774	6962	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0454	8	788	8149	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0455	7	887	9363	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0456	11	693	10317	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0457	2	835	1889	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0458	7	969	9363	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0459	2	864	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0460	11	691	10317	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0461	11	692	10317	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0462	8	799	10931	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0463	5	294	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0464	5	313	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0465	10	764	1590	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0466	5	442	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0467	7	944	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0468	7	898	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0469	9	663	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0470	4	1019	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0471	12	755	11415	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0472	2	830	1893	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0473	11	690	10317	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0474	8	791	8149	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0475	5	319	1579	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0476	7	910	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0477	7	971	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0478	7	909	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0479	8	801	10931	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0480	5	329	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0481	1	612	1901	2	2.0-2.0	R	0.015	0.015-0.015	S	32	32.0-32.0	R	0.015	0.015-0.015	S
GCGS0482	7	918	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0483	5	419	1901	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0484	7	917	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0485	7	916	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0486	3	542	1920	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0487	5	386	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0488	12	754	8114	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0489	12	743	1585	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0490	5	358	1901	4	4.0-4.0	R	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0491	5	305	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0492	11	721	1584	4	4.0-4.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0493	5	412	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0494	9	664	1588	0.125	0.125-0.125	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0495	9	672	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.008	0.008-0.008	S
GCGS0496	8	681	7828	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0497	7	961	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0498	8	645	1582	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0499	5	347	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0500	11	712	1584	1	1.0-1.0	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0501	8	800	10931	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0502	3	495	1579	1	1.0-1.0	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S
GCGS0503	4	1009	1580	2	2.0-2.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0504	8	646	1582	0.25	0.25-0.25	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.008	0.008-0.008	S
GCGS0505	4	1006	1580	2	2.0-2.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0506	5	346	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0507	5	331	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0508	5	303	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0509	2	870	1583	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0510	5	395	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0511	5	286	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0512	1	607	1901	0.03	0.03-0.03	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0513	5	450	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0514	9	679	1588	0.03	0.03-0.03	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.015	0.015-0.015	S
GCGS0515	8	648	11419	0.06	0.06-0.06	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0516	7	980	9363	4	4.0-4.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0517	8	652	1582	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0518	7	973	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0519	8	796	10931	4	4.0-4.0	R	0.015	0.015-0.015	S	0.002	0.002-0.002	S	0.008	0.008-0.008	S
GCGS0520	8	795	10931	4	4.0-4.0	R	0.015	0.015-0.015	S	0.002	0.002-0.002	S	0.002	0.002-0.002	S
GCGS0521	11	723	1584	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0522	7	963	9363	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0523	4	982	1580	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0524	4	1028	1580	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0525	11	718	1584	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0526	8	771	1594	1	1.0-1.0	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0527	4	990	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0528	4	1000	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0529	11	715	NA	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0530	3	457	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0531	4	993	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0532	4	991	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0533	4	987	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0534	4	992	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0535	4	994	1580	4	4.0-4.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0536	2	859	1893	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0537	3	485	1579	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0538	12	748	NA	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0539	3	525	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0540	4	985	1580	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0541	2	856	13781	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0542	3	481	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0543	11	696	10317	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0544	7	967	9363	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0545	7	891	9363	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0546	2	834	1893	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0547	3	456	1579	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0548	5	439	1901	0.25	0.25-0.25	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0549	5	441	1901	0.25	0.25-0.25	S	0.03	0.03-0.03	S	2	2.0-2.0	R	0.015	0.015-0.015	S
GCGS0550	7	897	9363	8	8.0-8.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0551	5	396	8153	0.25	0.25-0.25	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0552	7	981	9363	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0553	5	397	8153	0.125	0.125-0.125	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0554	8	803	10931	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0555	3	482	1579	2	2.0-2.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0556	10	758	1590	2	2.0-2.0	R	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0557	5	405	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0558	5	416	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0559	1	582	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0560	7	896	9363	16	16.0-16.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0561	8	546	11181	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0562	2	812	7822	2	2.0-2.0	R	0.03	0.03-0.03	S	4	4.0-4.0	R	0.004	0.004-0.004	S
GCGS0563	1	631	1901	2	2.0-2.0	R	0.03	0.03-0.03	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0564	7	888	9363	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0565	3	507	1579	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.03	0.03-0.03	S
GCGS0566	3	504	1579	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.03	0.03-0.03	S
GCGS0567	4	1023	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0568	5	293	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0569	3	460	NA	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0570	3	458	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0571	2	827	1893	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0572	2	825	1893	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0573	3	494	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S
GCGS0574	7	965	9363	2	2.0-2.0	R	0.03	0.03-0.03	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S
GCGS0575	7	966	9363	2	2.0-2.0	R	0.03	0.03-0.03	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S
GCGS0576	3	472	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0577	4	1021	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0578	4	1030	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0579	8	769	1594	2	2.0-2.0	R	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0580	3	473	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0581	4	1029	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0582	7	933	9363	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0583	7	885	9363	0.5	0.5-0.5	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0584	7	884	9363	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0585	2	816	7823	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0586	2	869	1587	8	8.0-8.0	R	0.03	0.03-0.03	S	0.125	0.125-0.125	S	0.008	0.008-0.008	S
GCGS0587	7	960	11422	2	2.0-2.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0588	5	341	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	2	2.0-2.0	R	0.03	0.03-0.03	S
GCGS0589	5	408	1901	8	8.0-8.0	R	0.03	0.03-0.03	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0590	5	413	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0591	5	418	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0592	5	422	1901	0.25	0.25-0.25	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0593	7	902	9363	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0594	13	560	7363	0.125	0.125-0.125	S	0.03	0.03-0.03	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0595	4	1011	1580	2	2.0-2.0	R	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0596	5	438	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0597	5	304	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0598	3	520	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.03	0.03-0.03	S	0.03	0.03-0.03	S
GCGS0599	8	792	NA	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0600	10	760	1590	1	1.0-1.0	S	0.03	0.03-0.03	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0601	4	1041	1580	1	1.0-1.0	S	0.03	0.03-0.03	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0602	1	605	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0603	9	665	1588	0.125	0.125-0.125	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0604	4	1017	1580	16	16.0-16.0	R	0.063	0.063-0.063	S	0.016	0.016-0.016	S	0.032	0.032-0.032	S
GCGS0605	3	499	1579	0.25	0.25-0.25	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0606	5	308	1901	0.25	0.25-0.25	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.03	0.03-0.03	S
GCGS0607	3	498	1579	1	1.0-1.0	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
